ManName,WomanName,ManAge,WomanAge,value,img,
杜德伟,IceLee(李晓冰),50,26,24,img/cp_hl.png,
王全安,张雨绮,48,27,21,img/cp_hl.png,
陶喆,江佩蓉,45,28,17,img/cp_hl.png,
孙红雷,王骏迪,44,29,15,img/cp_hl.png,
李秉宪,李珉廷(韩),43,31,12,img/cp_hl.png,
吴京,谢楠,42,31,11,img/cp_hl.png,
林志颖,陈若仪,39,29,10,img/cp_hl.png,
姚晨,曹郁,33,38,-5,img/cp_cc.png,
Ella,赖斯翔(马来),31,36,-5,img/cp_cc.png,
佟丽娅,陈思成,30,36,-6,img/cp_cc.png,
Selina,张承中,30,39,-9,img/cp_cc.png,
汤唯,金泰勇,35,45,-10,img/cp_cc.png,
AB,黄晓明,26,38,-12,img/cp_cc.png,
昆凌,周杰伦,22,36,-14,img/cp_cc.png,
刘芸,郑钧,31,46,-15,img/cp_cc.png,
刘诗诗,吴奇隆,29,46,-17,img/cp_cc.png,